Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
2390	0.008290	0.006921	0.003594	0.001833	0.084490	0.030061	0.016235	0.013500	-78896.451
2400	0.007867	0.005641	0.004900	0.004676	0.090608	0.030364	0.016930	0.013104	-79115.792
2410	0.009259	0.004560	0.003768	0.004486	0.094673	0.033805	0.023346	0.018506	-78526.752
2420	0.008367	0.002962	0.003551	0.001518	0.105909	0.031858	0.022002	0.017440	-79183.344
2430	0.008235	0.002024	0.003704	0.007341	0.094534	0.038656	0.022954	0.015200	-79114.116
2440	0.009576	0.001531	0.009662	0.005788	0.104342	0.056454	0.027237	0.022353	-79024.287
2450	0.005098	0.001251	0.005214	0.003114	0.079229	0.038884	0.022423	0.013854	-79118.144
2460	0.002963	0.001533	0.003479	0.001363	0.081538	0.035330	0.025457	0.016538	-79429.233
2470	0.006153	0.001647	0.005612	0.005084	0.078248	0.044786	0.021012	0.014089	-78850.189
2480	0.002844	0.002748	0.002801	0.002881	0.093758	0.036499	0.024278	0.020488	-78884.346
2490	0.002836	0.002753	0.002854	0.007122	0.097637	0.037413	0.024744	0.010516	-79095.147
2500	0.003748	0.001869	0.002397	0.005444	0.099137	0.037213	0.024611	0.018857	-78578.210
2510	0.006669	0.001820	0.003071	0.006639	0.098705	0.036252	0.020837	0.010881	-78780.101
2520	0.006132	0.002501	0.003623	0.006305	0.110257	0.040182	0.024575	0.017645	-78712.787
2530	0.004490	0.001137	0.003218	0.006607	0.096208	0.048920	0.021831	0.016294	-79087.587
2540	0.003034	0.001927	0.003343	0.003418	0.086687	0.034764	0.017178	0.014941	-79021.230
2550	0.001678	0.001989	0.005501	0.008024	0.083055	0.040065	0.019069	0.006011	-78929.381
2560	0.002224	0.003804	0.003168	0.008497	0.094083	0.039882	0.021560	0.012019	-78750.284
2570	0.004287	0.003254	0.003670	0.003330	0.088430	0.037153	0.019547	0.015504	-79045.159
2580	0.004232	0.002517	0.004792	0.003733	0.089447	0.040256	0.021081	0.017573	-78857.843
2590	0.006248	0.002504	0.001939	0.006819	0.086399	0.034206	0.022963	0.016255	-78889.231
2600	0.006229	0.002007	0.004467	0.017127	0.073337	0.036029	0.017542	0.007038	-79245.012
2610	0.006507	0.003405	0.006367	0.021913	0.085592	0.038688	0.021823	0.008145	-79040.438
2620	0.003495	0.002573	0.002671	0.007223	0.072878	0.034988	0.021148	0.013222	-79114.767
2630	0.003379	0.008870	0.004088	0.008618	0.094714	0.034786	0.021873	0.017624	-78735.669
2640	0.008060	0.003514	0.003907	0.001988	0.068633	0.032005	0.018358	0.016567	-78554.693
2650	0.007838	0.003771	0.005339	0.003498	0.090897	0.040963	0.020090	0.018778	-78364.150
2660	0.006149	0.004624	0.003683	0.003160	0.070529	0.029281	0.015807	0.014911	-79125.576
2670	0.007848	0.004013	0.003633	0.003421	0.082221	0.046476	0.019724	0.016671	-79020.007
2680	0.005723	0.002068	0.005374	0.004437	0.078006	0.039238	0.017240	0.014571	-79027.894
2690	0.002145	0.004618	0.007342	0.005295	0.079740	0.038019	0.018854	0.014599	-78512.082
2700	0.003468	0.004157	0.008954	0.011346	0.108766	0.051874	0.022301	0.014223	-78732.459
2710	0.004293	0.006634	0.002896	0.005256	0.086236	0.031604	0.023886	0.018503	-79198.391
2720	0.007504	0.008947	0.004841	0.008801	0.084663	0.033794	0.025541	0.019785	-79212.671
