Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
26550	0.113247	0.034021	0.030440	0.002848	0.002958	0.003048	0.003761	0.011292	0.001878	0.045151	0.012542	0.007563	0.002875	0.000265	0.003077	0.002469	0.000265	0.738898	0.009569	-75438.087
26560	0.093973	0.042976	0.023502	0.002260	0.002520	0.002217	0.007371	0.001373	0.003526	0.047079	0.015883	0.007065	0.002998	0.000166	0.003646	0.001626	0.000166	0.386488	0.009569	-75422.363
26570	0.097457	0.034645	0.020596	0.002353	0.002427	0.002335	0.003032	0.004400	0.003683	0.049014	0.016536	0.007357	0.003121	0.000843	0.003772	0.000433	0.000843	0.585319	0.037651	-75409.637
26580	0.088086	0.039339	0.008818	0.006003	0.009664	0.004376	0.003607	0.003467	0.003488	0.049191	0.013650	0.009834	0.003193	0.001346	0.002811	0.001148	0.001346	0.665720	0.025214	-75426.168
26590	0.055579	0.052772	0.023264	0.004768	0.004612	0.004036	0.003841	0.001725	0.012146	0.057726	0.015472	0.009621	0.003747	0.001613	0.004128	0.001485	0.001613	0.522728	0.025214	-75458.205
26600	0.096419	0.040487	0.016033	0.003391	0.009538	0.004329	0.003836	0.001786	0.002036	0.059580	0.016416	0.012098	0.003968	0.002696	0.004163	0.003550	0.002696	0.588419	0.069291	-75474.056
26610	0.085013	0.043653	0.009988	0.004726	0.003438	0.005212	0.001551	0.001687	0.005000	0.056669	0.015614	0.010281	0.003887	0.003023	0.004228	0.002022	0.003023	0.524988	0.022034	-75469.929
26620	0.061281	0.066034	0.010649	0.006748	0.006878	0.003045	0.009679	0.006773	0.003197	0.056669	0.015448	0.009889	0.004487	0.001890	0.003959	0.003533	0.001890	0.509864	0.054074	-75447.043
26630	0.099858	0.044530	0.010439	0.004139	0.001742	0.001856	0.004899	0.003798	0.003121	0.053640	0.015011	0.009184	0.004248	0.003020	0.003959	0.002147	0.003020	0.540919	0.008163	-75459.892
26640	0.093841	0.051563	0.020711	0.004847	0.001664	0.002638	0.006634	0.002247	0.002982	0.051245	0.013438	0.008774	0.003563	0.002691	0.003395	0.002137	0.002691	0.530536	0.008163	-75415.014
26650	0.099293	0.052726	0.021767	0.001955	0.001740	0.002181	0.014301	0.002033	0.005916	0.051245	0.013438	0.008519	0.004879	0.002974	0.003483	0.002504	0.002974	0.544009	0.040792	-75472.887
26660	0.099860	0.049022	0.016601	0.002590	0.004479	0.002566	0.003718	0.002296	0.007640	0.048514	0.013520	0.008586	0.004682	0.000977	0.003072	0.000425	0.000977	0.477980	0.014742	-75423.254
26670	0.098620	0.057448	0.011627	0.007139	0.002149	0.003286	0.001952	0.003189	0.010948	0.052416	0.013170	0.009309	0.002775	0.001212	0.003766	0.002213	0.001212	0.624024	0.014742	-75445.240
26680	0.081900	0.070151	0.010002	0.003710	0.004855	0.005003	0.003470	0.002219	0.001974	0.051360	0.012905	0.009534	0.002769	0.002511	0.003361	0.002393	0.002511	0.764212	0.038801	-75425.044
26690	0.103906	0.049451	0.010110	0.002552	0.005586	0.003820	0.005640	0.010348	0.002769	0.055267	0.013197	0.009818	0.003038	0.001166	0.003948	0.001802	0.001166	0.453343	0.011212	-75423.649
26700	0.089841	0.036043	0.008826	0.003573	0.001707	0.005283	0.006850	0.001571	0.004735	0.052998	0.013609	0.009969	0.002416	0.000256	0.003644	0.001192	0.000256	0.577838	0.061952	-75439.816
26710	0.094063	0.045170	0.003519	0.003168	0.003522	0.004537	0.005932	0.004097	0.005476	0.048041	0.012336	0.011094	0.002176	0.000422	0.003303	0.000879	0.000422	0.377406	0.059069	-75427.142
26720	0.103571	0.049280	0.008378	0.002248	0.001872	0.004087	0.005515	0.002141	0.002526	0.046847	0.012030	0.010344	0.002332	0.000991	0.003221	0.000698	0.000991	0.380579	0.047147	-75421.925
26730	0.083500	0.058121	0.005442	0.002213	0.009242	0.003455	0.014427	0.003832	0.001504	0.046114	0.011841	0.009921	0.002296	0.001535	0.004179	0.001393	0.001535	0.371256	0.038416	-75412.110
26740	0.078505	0.032102	0.008874	0.002166	0.003536	0.003381	0.002849	0.009922	0.007528	0.045129	0.012174	0.009709	0.002247	0.000858	0.004090	0.001639	0.000858	0.669033	0.088433	-75443.618
26750	0.102226	0.049912	0.005166	0.001894	0.005108	0.004285	0.018045	0.009524	0.002341	0.045722	0.012334	0.010788	0.002461	0.000997	0.003249	0.002060	0.000997	0.495527	0.041371	-75431.143
26760	0.097543	0.055269	0.007635	0.002006	0.005340	0.005404	0.001606	0.004022	0.002424	0.048428	0.013958	0.011348	0.002607	0.000223	0.003441	0.000899	0.000223	0.583703	0.014262	-75407.515
26770	0.086738	0.042670	0.008213	0.001864	0.001392	0.004897	0.001479	0.019667	0.002252	0.044999	0.012970	0.010574	0.002422	0.001658	0.003198	0.000520	0.001658	0.574710	0.014262	-75441.458
26780	0.149613	0.042982	0.008674	0.001924	0.004902	0.005029	0.001621	0.009908	0.002325	0.046440	0.013385	0.010738	0.002500	0.001665	0.003306	0.002356	0.001665	0.469278	0.014262	-75440.706
26790	0.158776	0.049680	0.006764	0.001877	0.002482	0.004104	0.002499	0.002379	0.001700	0.045294	0.013055	0.011655	0.002438	0.000533	0.003224	0.001725	0.000533	0.621452	0.014262	-75409.437
26800	0.156486	0.049726	0.003261	0.001451	0.003872	0.004111	0.003657	0.003352	0.005803	0.046161	0.013305	0.011879	0.003056	0.001435	0.002794	0.000956	0.001435	0.493524	0.014262	-75429.364
26810	0.137592	0.056176	0.013524	0.001419	0.003092	0.005605	0.004223	0.007173	0.004486	0.045152	0.013014	0.009794	0.002989	0.000596	0.002733	0.000379	0.000596	0.537493	0.031988	-75407.964
26820	0.159726	0.044435	0.010039	0.001227	0.004164	0.004814	0.003950	0.001208	0.004272	0.039054	0.011256	0.009235	0.002586	0.001104	0.001715	0.001021	0.001104	0.608121	0.002842	-75479.427
26830	0.193106	0.061507	0.017207	0.001539	0.002581	0.006016	0.003692	0.005368	0.005522	0.042955	0.014117	0.009345	0.003243	0.001219	0.002151	0.001718	0.001219	0.380856	0.002842	-75433.437
26840	0.184350	0.038521	0.016030	0.001475	0.004773	0.009385	0.008544	0.001926	0.004574	0.041172	0.013532	0.009126	0.003108	0.001199	0.002062	0.001766	0.001199	0.504161	0.002842	-75425.126
26850	0.143665	0.035870	0.017968	0.001943	0.004820	0.004649	0.006903	0.003166	0.002204	0.043088	0.014161	0.009443	0.002562	0.001013	0.002158	0.000324	0.001013	0.505962	0.002842	-75415.151
26860	0.110075	0.046521	0.019872	0.001657	0.003609	0.007305	0.003397	0.002909	0.002216	0.043338	0.015631	0.009185	0.002603	0.001326	0.002170	0.000568	0.001326	0.403028	0.071673	-75406.361
26870	0.148947	0.063949	0.018134	0.002062	0.008049	0.006833	0.002489	0.002833	0.002021	0.049811	0.018461	0.008248	0.002893	0.001335	0.002495	0.000253	0.001335	0.541939	0.044858	-75417.738
26880	0.116191	0.041676	0.026104	0.001637	0.001404	0.006218	0.004492	0.002517	0.003496	0.048144	0.017843	0.007972	0.003212	0.000366	0.002175	0.000222	0.000366	0.471320	0.044858	-75383.099
26890	0.130141	0.056133	0.024919	0.002233	0.002864	0.002216	0.003867	0.002314	0.007072	0.045959	0.017033	0.007611	0.002269	0.000409	0.002713	0.000205	0.000409	0.468349	0.028732	-75422.013
