Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
66670	0.128013	0.014561	0.025073	0.004039	0.013660	0.001287	0.003504	0.036759	0.022529	0.004274	0.003031	0.004060	0.002320	0.190660	-75711.645
66680	0.103211	0.013305	0.021778	0.003794	0.005723	0.004776	0.003202	0.033589	0.020586	0.003905	0.002097	0.003805	0.000564	0.451532	-75708.142
66690	0.121824	0.015209	0.034112	0.003565	0.006578	0.004311	0.005162	0.038394	0.023531	0.004464	0.002197	0.003261	0.000817	0.810596	-75769.757
66700	0.109282	0.015209	0.024559	0.002427	0.004083	0.004399	0.003655	0.038394	0.023531	0.004464	0.003419	0.004288	0.001739	0.642055	-75678.775
66710	0.141149	0.016183	0.033247	0.002539	0.016243	0.004149	0.004107	0.040853	0.025038	0.004750	0.003638	0.004017	0.002783	0.745241	-75765.767
66720	0.195317	0.018211	0.027396	0.003677	0.013223	0.004061	0.001382	0.045972	0.028175	0.005345	0.003856	0.005087	0.003655	0.429611	-75700.723
66730	0.126442	0.031718	0.024788	0.001532	0.005604	0.002849	0.002888	0.046575	0.022362	0.005415	0.004751	0.005360	0.003023	0.679660	-75744.661
66740	0.096552	0.027395	0.023996	0.003118	0.005200	0.001641	0.002499	0.045086	0.021648	0.005242	0.002516	0.005136	0.001112	0.332777	-75668.525
66750	0.074565	0.024929	0.029170	0.004406	0.001564	0.010586	0.001700	0.046812	0.022476	0.005443	0.003478	0.005176	0.001944	0.821266	-75801.947
66760	0.065396	0.024155	0.024105	0.002274	0.005944	0.006721	0.006430	0.050272	0.024138	0.005845	0.003257	0.005460	0.001031	0.726993	-75742.762
66770	0.118168	0.033689	0.024556	0.006709	0.002223	0.003407	0.003203	0.051725	0.024835	0.006014	0.002475	0.005670	0.002279	0.815002	-75746.964
66780	0.074708	0.046974	0.050937	0.005347	0.011536	0.003199	0.003203	0.051725	0.024835	0.006014	0.002306	0.005948	0.001658	0.685153	-75719.829
66790	0.068071	0.027211	0.021569	0.003654	0.007239	0.005408	0.001968	0.048727	0.023396	0.005666	0.002172	0.005603	0.001995	0.470229	-75743.817
66800	0.100895	0.034295	0.023013	0.002040	0.006427	0.004411	0.015318	0.053759	0.025812	0.006251	0.004174	0.005118	0.003830	0.769453	-75763.730
66810	0.080186	0.021527	0.032971	0.001650	0.006249	0.007269	0.001905	0.052317	0.025120	0.006083	0.004182	0.005158	0.001750	0.544940	-75793.670
66820	0.113099	0.029863	0.020785	0.002463	0.002235	0.004168	0.002287	0.053504	0.025689	0.006221	0.003158	0.006202	0.001660	0.453425	-75659.098
66830	0.082338	0.045741	0.015060	0.001636	0.004713	0.003251	0.002208	0.050419	0.020758	0.005862	0.003449	0.005650	0.002426	0.645683	-75686.825
66840	0.112921	0.036820	0.022433	0.003491	0.003471	0.005833	0.002399	0.049525	0.020391	0.005758	0.003875	0.005460	0.002949	0.666372	-75694.053
66850	0.074574	0.028837	0.031305	0.002606	0.004072	0.005548	0.006541	0.054638	0.022495	0.006353	0.004350	0.005730	0.003954	0.770264	-75646.402
66860	0.097028	0.036249	0.031228	0.002275	0.002115	0.001136	0.001454	0.048174	0.019834	0.005601	0.003677	0.005449	0.002482	0.797129	-75656.602
66870	0.070810	0.018148	0.019980	0.004087	0.001469	0.003482	0.019586	0.048174	0.019834	0.005601	0.004027	0.005449	0.000389	0.839336	-75727.221
66880	0.077552	0.027597	0.030048	0.003411	0.002177	0.001308	0.011378	0.048279	0.019877	0.005613	0.003720	0.004836	0.001191	0.880587	-75715.074
66890	0.069030	0.032224	0.022713	0.003021	0.003831	0.003416	0.003167	0.046552	0.019166	0.005413	0.003874	0.005349	0.000424	0.968739	-75717.955
66900	0.118063	0.025185	0.037220	0.001825	0.007001	0.004229	0.006725	0.049954	0.020567	0.005808	0.004174	0.004446	0.001465	0.946738	-75785.305
66910	0.089385	0.026673	0.027423	0.004723	0.002958	0.013116	0.002824	0.045773	0.018846	0.005322	0.004003	0.004712	0.003848	0.987354	-75718.952
66920	0.143937	0.038540	0.024108	0.005208	0.004692	0.011854	0.004422	0.050015	0.020592	0.005815	0.004362	0.005605	0.001944	0.987354	-75770.252
